,구,구별 총 노인수,구별 노인 비율,동,동별 총 노인수,동별 노인 비율
0,마산합포구,28761,15.809870381160742,구산면,1356,27.27821363910682
1,마산합포구,28761,15.809870381160742,진동면,1814,14.38084667829396
2,마산합포구,28761,15.809870381160742,진북면,1103,26.707021791767556
3,마산합포구,28761,15.809870381160742,진전면,1601,36.585923217550274
4,마산합포구,28761,15.809870381160742,현동,636,16.736842105263158
5,마산합포구,28761,15.809870381160742,가포동,254,19.1553544494721
6,마산합포구,28761,15.809870381160742,월영동,3242,10.377720870678617
7,마산합포구,28761,15.809870381160742,문화동,2158,16.419386745796242
8,마산합포구,28761,15.809870381160742,반월중앙동,2690,14.982733652667928
9,마산합포구,28761,15.809870381160742,완월동,1763,15.556339892349774
10,마산합포구,28761,15.809870381160742,자산동,2030,15.143603133159269
11,마산합포구,28761,15.809870381160742,오동동,1882,16.935121029424998
12,마산합포구,28761,15.809870381160742,교방동,1567,13.874623693996814
13,마산합포구,28761,15.809870381160742,합포동,1479,19.215278680005195
14,마산합포구,28761,15.809870381160742,산호동,1998,13.95836244236412
15,의창구,23199,8.932277328363899,동읍,3061,13.073933284927177
16,의창구,23199,8.932277328363899,북면,3068,11.123599579420617
17,의창구,23199,8.932277328363899,대산면,1846,24.51527224435591
18,의창구,23199,8.932277328363899,의창동,3684,9.618547818594815
19,의창구,23199,8.932277328363899,팔룡동,2363,5.698095008439836
20,의창구,23199,8.932277328363899,명곡동,3809,7.186928055246325
21,의창구,23199,8.932277328363899,봉림동,3140,8.38518439394344
22,의창구,23199,8.932277328363899,용지동,2228,7.1917366042608135
23,마산회원구,24680,11.61269679945042,내서읍,5752,7.982458575036776
24,마산회원구,24680,11.61269679945042,회원1동,2210,17.778135306894054
25,마산회원구,24680,11.61269679945042,회원2동,2396,17.29464414609499
26,마산회원구,24680,11.61269679945042,석전동,2636,14.735312203029796
27,마산회원구,24680,11.61269679945042,회성동,1458,18.788659793814432
28,마산회원구,24680,11.61269679945042,양덕1동,1661,12.568099273607746
29,마산회원구,24680,11.61269679945042,양덕2동,2604,8.976215098241985
30,마산회원구,24680,11.61269679945042,합성1동,1322,15.354239256678282
31,마산회원구,24680,11.61269679945042,합성2동,1380,13.398058252427184
32,마산회원구,24680,11.61269679945042,구암1동,1432,12.491277041172367
33,마산회원구,24680,11.61269679945042,구암2동,1286,11.21968242889548
34,마산회원구,24680,11.61269679945042,봉암동,543,12.14221824686941
35,성산구,12302,5.1824952817471015,반송동,2705,5.611683920087962
36,성산구,12302,5.1824952817471015,중앙동,1446,5.866363747007992
37,성산구,12302,5.1824952817471015,상남동,1427,4.428101532923726
38,성산구,12302,5.1824952817471015,사파동,2686,4.914463452566096
39,성산구,12302,5.1824952817471015,가음정동,1967,5.082162050434063
40,성산구,12302,5.1824952817471015,성주동,1115,3.8253053382736377
41,성산구,12302,5.1824952817471015,웅남동,956,9.764069042998672
42,진해구,20026,11.027715215559729,충무동,2706,12.906610703043023
43,진해구,20026,11.027715215559729,여좌동,2422,20.12965425531915
44,진해구,20026,11.027715215559729,태백동,1431,21.025565677343522
45,진해구,20026,11.027715215559729,경화동,1540,13.843941028407048
46,진해구,20026,11.027715215559729,병암동,1200,13.455931823278764
47,진해구,20026,11.027715215559729,석동,1222,6.1942416869424175
48,진해구,20026,11.027715215559729,이동,1445,12.730155933397938
49,진해구,20026,11.027715215559729,자은동,1161,9.348578790562847
50,진해구,20026,11.027715215559729,덕산동,1193,9.637288957104774
51,진해구,20026,11.027715215559729,풍호동,1635,9.092425759092427
52,진해구,20026,11.027715215559729,웅천동,1057,24.512987012987015
53,진해구,20026,11.027715215559729,웅동1동,923,10.588505219685672
54,진해구,20026,11.027715215559729,웅동2동,2091,5.99776267102659
