구,읍면동,무료급식소 수
마산합포구,구산면,0
마산합포구,진동면,0
마산합포구,진북면,0
마산합포구,진전면,0
마산합포구,현동,0
마산합포구,가포동,0
마산합포구,월영동,1
마산합포구,문화동,1
마산합포구,반월중앙동,1
마산합포구,완월동,0
마산합포구,자산동,1
마산합포구,오동동,1
마산합포구,교방동,0
마산합포구,합포동,0
마산합포구,산호동,0
성산구,반송동,1
성산구,중앙동,0
성산구,상남동,0
성산구,사파동,2
성산구,가음정동,0
성산구,성주동,0
성산구,웅남동,0
마산회원구,내서읍,1
마산회원구,회원1동,0
마산회원구,회원2동,2
마산회원구,석전동,1
마산회원구,회성동,0
마산회원구,양덕1동,0
마산회원구,양덕2동,0
마산회원구,합성1동,0
마산회원구,합성2동,0
마산회원구,구암1동,0
마산회원구,구암2동,0
마산회원구,봉암동,0
의창구,동읍,1
의창구,북면,1
의창구,대산면,0
의창구,의창동,1
의창구,팔룡동,0
의창구,명곡동,1
의창구,봉림동,1
의창구,용지동,2
진해구,충무동,1
진해구,여좌동,0
진해구,태백동,1
진해구,경화동,0
진해구,병암동,0
진해구,석동,0
진해구,이동,1
진해구,자은동,1
진해구,덕산동,0
진해구,풍호동,1
진해구,웅천동,1
진해구,웅동1동,1
진해구,웅동2동,1
